,productname1,ratings1,price1,offers1,productname2,ratings2,price2
0,Lifelong Chaze by Milind Soman CZBC2703 27.5 T Road Cyc...,4.1,8899.0,38% off,Adult Hybrid Cycle Riverside 120 - Grey Yellow,,11999.0
1,WALTX Trail 26 T Mountain Cycle,4.2,12999.0,23% off,Adult Leisure Cycle My Bike - White,,5999.0
2,Lifelong Chaze by Milind Soman CZBC2702 27.5 T Road Cyc...,4.3,8899.0,38% off,Adult Leisure MTB Cycle Rockrider ST30 - Blue & Fluo Orange,,9999.0
3,Hi-Fast Bicycle For Kids with Training Wheels (Semi Ass...,3.7,3299.0,45% off,Adult Leisure Cycle Rockrider ST10 - Black,,5999.0
4,WALTX Dune 4 - Front Suspension 26 T Fat Tyre Cycle,4.0,17999.0,36% off,Adult Leisure MTB Cycle Rockrider ST20 HF - Grey,4.0,7499.0
5,MODERN Arrow 26T City Bike/Cycle In Built Carrier (Matt...,4.1,5399.0,46% off,Adult Leisure MTB Cycle Rockrider ST20 LF - Teal Blue,4.4,7499.0
6,MODERN Arrow 26T City Bike/Cycle In Built Carrier (Matt...,3.9,5399.0,46% off,Adult Sport MTB Cycle IN ST 530 - Chrome,4.6,34999.0
7,WALTX Dune 1 26 T Fat Tyre Cycle,4.3,16999.0,26% off,Adult Sport MTB Cycle ST120 - Black/ Blue,4.9,24999.0
8,"Lifelong Falcon 27.5 T with Disc Brake and Suspension, ...",3.7,8999.0,30% off,Adult Sport MTB Cycle Rockrider ST50 - Black,4.1,12999.0
9,Lifelong Chaze by Milind Soman CZBC2601 26 T Road Cycle,3.4,5699.0,40% off,Adult Sport MTB Cycle Rockrider ST540 - Blue,4.0,39999.0
10,LEADER TORFIN 26T MTB Bicycle without Gear Single Speed...,4.4,7425.0,40% off,Adult Sport MTB Cycle Rockrider ST520 - Yellow,4.4,27999.0
11,MODERN NAPPIER 26T Bike/Bicycle In Built Carrier (Matte...,4.0,6299.0,25% off,Adult Sport MTB Cycle - Rockrider ST520 - Grey,4.1,27999.0
